1-gram,*/*
IV,8116349309
IA,8072199471
AM,8032259916
FI,8024355222
CI,7936922442
VI,7600241898
PL,7415349106
IG,7189051323
TU,7187510085
EV,7184041787
LD,7122648226
RY,6985436186
MP,6743935008
FE,6670566518
BL,6581097936
AB,6479202253
GH,6414827751
TY,6408447994
OP,6313536754
WO,6252724050
SA,6147356936
AY,6128842727
EX,6035335807
KE,6027536039
FR,6011200185
OO,5928601045
AV,5778409728
AG,5772552144
IF,5731148470
AP,5719570727
GR,5548472398
OD,5511014957
BO,5509918152
SP,5392724233
RD,5338083783
DO,5307591560
UC,5291161134
BU,5214802738
EI,5169898489
OV,5021440160
BY,4975814759
RM,4938158020
EP,4837800987
TT,4812693687
OC,4692062395
FA,4624241031
EF,4588497002
CU,4585165906
RN,4521640992
SC,4363410770
GI,4275639800
DA,4259590348
YO,4226720021
CR,4214150542
CL,4201617719
DU,4186093215
GA,4175274057
QU,4160167957
UE,4158448570
FF,4125634219
BA,4122472992
EY,4053144855
LS,3990203351
VA,3946966167
UM,3901923211
PP,3850125519
UA,3844138094
UP,3835093459
LU,3811884104
GO,3725558729
HT,3670802795
RU,3618438291
UG,3606562400
DS,3560125353
LT,3486149365
PI,3470838749
RC,3422694015
RR,3404547067
EG,3370515965
AU,3356322923
CK,3316660134
EW,3293529190
MU,3231856188
BR,3145611704
BI,3005679357
PT,2982699529
AK,2952167845
PU,2947681332
UI,2852182384
RG,2813274913
IB,2780268452
TL,2775935006
NY,2760941827
KI,2759841743
RK,2736041446
YS,2730343336
OB,2725791138
MM,2708822249
FU,2706168901
PH,2661480326
OG,2651165734
MS,2617582287
YE,2612941418
UD,2577213760
MB,2544901434
IP,2515455253
UB,2497666762
OI,2474275212
RL,2432373251
GU,2418410978
DR,2409399231
HR,2379584978
CC,2344219345
TW,2322619238
FT,2302659749
WN,2227183930
NU,2217508482
AF,2092395523
HU,2077887429
NN,2051719074
EO,2044268477
VO,2004982879
RV,1953555667
NF,1894270041
XP,1885334638
GN,1850801359
SM,1838392669
FL,1830098844
IZ,1814164135
OK,1813376076
NL,1798491132
MY,1753447198
GL,1709752272
AW,1689436638
JU,1655210582
OA,1620913259
EQ,1614312175
SY,1602829285
SL,1575646777
PS,1538723474
JO,1516687319
LF,1507867867
NV,1466426243
JE,1463052212
NK,1455100124
KN,1450401608
GS,1443474876
DY,1421751251
HY,1412343465
ZE,1402290616
KS,1339590722
XT,1315669490
BS,1292319275
IK,1209994695
DD,1205446875
CY,1176324279
RP,1173542093
SK,1112771273
XI,1111463633
OE,1089254517
OY,1020190223
WS,989253674
LV,984229060
DL,911886482
RF,909634941
EU,878402090
DG,874188188
WR,867361010
XA,834649781
YI,812619095
NM,782441941
EB,763383542
RB,753194669
TM,746621025
XC,746076293
EH,742240059
TC,736955048
GY,731420025
JA,729206855
HN,726288117
YP,702499946
ZA,702199296
GG,697999944
YM,667551857
SW,663415953
BJ,654853039
LM,649112313
CS,643530723
II,642384029
IX,621227893
XE,614533122
OH,602121281
LK,555883002
DV,537221821
LP,536595562
AX,531206960
OX,523764012
UF,522547858
DM,512522701
IU,490874936
SF,483979931
BT,482272940
KA,478095427
YT,470429861
EK,464449289
PM,449910017
YA,444542870
GT,434302509
WL,429185823
RH,426095630
YL,416082307
HS,414044112
AH,384694919
YC,380670476
YN,372595315
RW,359714599
HM,359316447
LW,356374125
HL,355049620
AE,349540062
ZI,341671190
AZ,334669428
LC,333338045
PY,331698156
AJ,331384552
IQ,318727904
NJ,312598990
BB,308276690
NH,306883963
UO,300484143
KL,298033281
LR,283411884
TN,282266629
GM,277966576
SN,258702825
NR,258048421
FY,256535008
MN,247850339
DW,230152384
SB,223212317
YR,219696469
DN,213431654
SQ,209894196
ZO,202480511
OJ,196696657
YD,192245315
LB,188643782
WT,184446342
LG,171657388
KO,171324962
NP,170186564
SR,168896339
NQ,167770304
KY,167761726
LN,165509578
NW,163456000
TF,159626603
FS,155349948
CQ,154363546
DH,153344431
SD,148275222
VY,138085211
DJ,134832736
HW,134615178
XU,134528161
AO,130442323
ML,129888836
UK,129819900
UY,128782521
EJ,128194584
EZ,127540198
HB,123778334
NZ,123192934
NB,122258836
MC,121591374
YB,121220723
TP,121089391
XH,117618666
UX,110947766
TZ,108527540
BV,108385069
MF,107664447
WD,99767462
OZ,97904996
YW,95070267
KH,89811517
GD,89087728
BM,88228719
MR,87580303
KU,85313841
UV,82252351
DT,81648332
HD,80544316
AA,79794787
XX,79068246
DF,78347492
DB,78190243
JI,77899882
KR,76743394
XO,76097183
CM,75144874
ZZ,75012595
NX,73899576
YG,73102462
XY,72645837
KG,72267691
TB,71746167
DC,71030077
BD,69761165
SG,69588685
WY,68368953
ZY,66473188
AQ,63283982
HF,63249924
CD,62905910
VU,62384927
KW,61416538
ZU,60692846
BN,59062122
IH,58966344
TG,55522877
XV,55076715
UZ,53873803
BC,53278096
XF,52374239
YZ,51097953
KM,50449220
DP,48855638
LH,45643026
WF,45330551
KF,44759608
PF,41022263
CF,39704311
MT,38538709
YU,37436235
CP,37067423
PB,36901495
TD,36539510
ZL,35456851
SV,35005005
HC,34631551
MG,34537023
PW,34037460
GF,33962536
PD,33798376
PN,33536129
PC,33156666
RX,32990613
TV,32805751
IJ,31324465
WM,30732232
UH,30097154
WK,30095733
WB,29929113
BH,29797934
OQ,29227658
KT,29132180
RQ,28152573
KB,25406204
CG,24975673
VR,24701238
CN,24249641
PK,23099462
UU,22006895
YF,21246637
WP,20982546
CZ,20601701
KP,20492678
DQ,19927900
WU,19601657
FM,19340776
WC,19008254
MD,18929019
KD,18894758
ZH,18782710
GW,18260884
RZ,17993128
CB,17751935
IW,17611969
XL,16728256
HP,16696129
MW,16465357
VS,16263248
FC,16254390
RJ,15598009
BP,15427250
MH,15033898
HH,14730425
YH,14682887
UJ,14548024
FG,14424524
FD,13966832
GB,13944852
PG,13354952
TK,13081991
KK,12782664
HQ,11925353
FN,11823066
LZ,11767790
VL,11621019
GP,11612944
HZ,10729982
DK,9494027
YK,9292584
QI,8954617
LX,8612462
VD,8430332
ZS,8395904
BW,8319869
XQ,8225536
MV,8172535
UW,7824504
HG,7789748
FB,7730842
SJ,7621847
WW,7377619
GK,7338894
UQ,7235727
BG,7203255
SZ,7041052
JR,6846578
QL,6708919
ZT,6627349
HK,6595610
VC,6570845
XM,6569222
GC,6455066
FW,6451511
PZ,6382200
KC,6326022
HV,6292998
XW,6292525
ZW,6279286
FP,6262895
IY,6247588
PV,6222096
VT,6181932
JP,6129447
CV,5869407
ZB,5858211
VP,5510046
ZR,5320518
FH,5166165
YV,5115763
ZG,4726653
ZM,4713608
ZV,4618705
QS,4448602
KV,4414960
VN,4317772
ZN,4300522
QA,4298294
YX,4211192
JN,4150888
BF,4108696
MK,3956883
CW,3909223
JM,3659540
LQ,3582930
JH,3541869
KJ,3471162
JC,3447571
GZ,3431194
JS,3329038
TX,3328898
FK,3293208
JL,3192327
VM,3178223
LJ,3169833
TJ,3169658
JJ,2979950
CJ,2962048
VG,2960268
MJ,2923325
JT,2917850
PJ,2810773
WG,2751783
VH,2691078
BK,2639491
VV,2622571
JD,2615147
TQ,2517400
VB,2496014
JF,2421784
DZ,2200704
XB,2164724
JB,2126115
ZC,2100797
FJ,2065436
YY,1993017
QN,1859810
XS,1804740
QR,1744325
JK,1740133
JV,1719726
QQ,1712219
XN,1613611
VF,1550317
PX,1473468
ZD,1415016
QT,1385505
ZP,1361846
QO,1324363
DX,1296277
HJ,1282370
GV,1192366
JW,1165914
QC,1127399
JY,1120221
GJ,1093028
QB,1083443
PQ,1075049
JG,1034900
BZ,1007374
MX,994334
QM,989868
MZ,970282
QF,947879
WJ,914179
ZQ,913036
XR,907409
ZK,906537
CX,876736
FX,812116
FV,807297
BX,778622
VW,742188
VJ,724370
MQ,708424
QV,635514
ZF,608389
QE,572443
YJ,561334
GX,557030
KX,555422
XG,542548
QD,519921
XJ,511074
SX,503772
VZ,501189
VX,449854
WV,389123
YQ,384882
BQ,346506
GQ,345624
VK,337545
ZJ,309029
XK,281255
QP,272180
HX,263997
FZ,263860
QH,263509
QJ,236928
JZ,220675
VQ,212856
KQ,187242
XD,168263
QW,163292
JX,161750
QX,159505
KZ,150760
WX,150637
FQ,149430
XZ,136521
ZX,108224
3-gram,*/*
THE,69221160871
AND,26468697834
ING,21289988294
ION,20449402244
TIO,16819216214
ENT,15514431359
ATI,11778016773
FOR,11352182252
HER,10921772146
TER,10298054230
HAT,9595332482
THA,9447439870
ERE,8939106849
ATE,8757480213
HIS,8073090301
CON,8068814778
RES,7496974307
VER,7415630371
ALL,7317964040
ONS,7187472617
NCE,6936472580
MEN,6889167446
ITH,6795041998
TED,6610757134
ERS,6524449179
PRO,6441091673
THI,6357454845
WIT,6270098257
ARE,6050931663
ESS,5961685248
NOT,5871622477
IVE,5738676234
WAS,5723542738
ECT,5633214660
REA,5614636634
COM,5512716986
EVE,5367611215
PER,5340402298
INT,5272125236
EST,5093021295
STA,5003705570
CTI,4965296625
ICA,4851083411
IST,4696789776
EAR,4565761282
AIN,4507928531
ONE,4425109105
OUR,4406006814
ITI,4405426644
RAT,4343095846
NTE,4326059573
TIN,4314722175
INE,4289473708
DER,4270017146
OME,4215212970
MAN,4170329466
PRE,4165466522
ROM,4120910706
TRA,4103386993
WHI,4056368486
AVE,4051571914
STR,4004702365
ACT,3996307044
ILL,3995118251
URE,3944467758
IDE,3916831962
OVE,3916118810
CAL,3912525152
BLE,3874673895
OUT,3862229953
STI,3838372232
TIC,3827724881
OUN,3822970506
ENC,3804294828
ORE,3797463503
ANT,3755591976
ITY,3740314311
FRO,3734044758
ART,3726591176
TUR,3716216523
PAR,3691428919
RED,3671917165
OTH,3662729446
ERI,3634984261
HIC,3617867236
IES,3606387088
STE,3592565889
GHT,3589011577
ICH,3577428959
IGH,3553478573
UND,3541129200
YOU,3526888940
ORT,3525114055
ERA,3467154217
WER,3454801393
NTI,3452787542
OUL,3393996042
NDE,3371859569
IND,3370038532
THO,3369505315
HOU,3342574324
NAL,3328174739
BUT,3288060978
HAV,3269289459
ULD,3260062247
USE,3249161948
HAN,3236577761
HIN,3192784848
EEN,3150099353
CES,3146412304
COU,3131814971
LAT,3128928842
TOR,3117606678
ESE,3083065459
AGE,3079371068
AME,3063470381
RIN,3061940657
ANC,3061152975
TEN,3046276919
HEN,3028124771
MIN,3014281990
EAS,2978912999
CAN,2944892098
LIT,2944248001
CHA,2937894826
OUS,2923340166
EAT,2920916694
END,2874159170
SSI,2855479709
IAL,2846884929
LES,2840778947
REN,2834101790
TIV,2823963719
NTS,2819913821
WHE,2819913224
TAT,2816539690
ABL,2813941563
DIS,2773684939
RAN,2756632817
WOR,2730928730
ROU,2725119281
LIN,2717930332
HAD,2716612700
SED,2712220619
ONT,2709693161
PLE,2709301962
UGH,2701766755
INC,2670371826
SIO,2666874725
DIN,2664194678
RAL,2641166088
UST,2626257068
TAN,2585346335
NAT,2583946305
INS,2580114109
ASS,2562588038
PLA,2561364747
VEN,2561186428
ELL,2560301401
SHE,2537293543
OSE,2536016912
ITE,2534327799
LLY,2527757315
REC,2526083797
LAN,2505261403
ARD,2487791987
HEY,2482083623
RIE,2479665577
POS,2464211596
EME,2455833072
MOR,2447547857
DEN,2429526864
OUG,2428002205
TTE,2421458175
NED,2407171853
RIT,2393330568
IME,2376231548
SIN,2346887414
AST,2340144326
ANY,2326409599
ORM,2324611512
NDI,2324589034
ONA,2322176393
SPE,2318638245
ENE,2315419652
HEI,2313435041
RIC,2308293732
ICE,2294801209
ORD,2286715485
OMP,2282867653
NES,2282287423
SEN,2279307132
TIM,2278831703
TRI,2274907285
ERN,2267519557
TES,2254187013
POR,2253847267
APP,2250639905
LAR,2206970736
NTR,2204208420
EIR,2204032234
SHO,2200493723
SON,2170183171
CAT,2166573173
LLE,2165623064
NER,2164964142
HES,2163142912
WHO,2160306172
MAT,2157479849
ASE,2154434497
KIN,2151792089
OST,2150055872
BER,2140061455
ITS,2139410770
NIN,2139022753
LEA,2131394724
INA,2115500516
MPL,2114302261
STO,2113597230
ARI,2098441070
PRI,2094394221
OWN,2094281927
ALI,2092006545
REE,2078805186
ISH,2074242414
DES,2065715430
EAD,2060206998
NST,2054599822
SIT,2052297953
SES,2048207199
ANS,2026036276
HAS,2017612960
GRE,2001721438
ONG,2001446810
ALS,2000332681
FIC,1997879534
UAL,1996324956
IEN,1995121823
GEN,1991701772
SER,1987057848
UNT,1982548278
ECO,1981693790
NTA,1978715787
ACE,1977975504
CHI,1975189149
FER,1975124250
TAL,1972799407
LOW,1970111275
ACH,1966761386
IRE,1964868193
ANG,1962979826
SSE,1960826586
GRA,1959140336
MON,1955584919
FFE,1952351948
RAC,1946702195
SEL,1944734073
UNI,1943038289
AKE,1943012492
ARY,1933364771
WIL,1932036855
LED,1931510341
DED,1927628435
SOM,1911763476
OWE,1902222370
HAR,1901770930
INI,1891645157
OPE,1888113123
NGE,1885057822
UCH,1883741792
REL,1881145045
CHE,1879547813
ADE,1878265265
ATT,1875749484
CIA,1873567925
EXP,1868948910
MER,1866252229
LIC,1856452455
HEM,1837812879
ERY,1835595583
NSI,1823155367
OND,1821563403
RTI,1821040658
DUC,1819169719
HOW,1815729773
ERT,1809544701
SEE,1801727547
NOW,1791229670
IMP,1787558291
ABO,1787056888
PEC,1784226987
CEN,1783826555
RIS,1782076111
MAR,1775964347
ENS,1770996323
TAI,1765027033
ELY,1751308590
OMM,1747661259
SUR,1735122761
HEA,1719821233
ULA,1713255664
ULT,1712422601
ILI,1696501308
BEE,1688792738
ORK,1683087659
LIS,1682095398
NIT,1679865263
ORI,1679533364
THR,1673179164
ATH,1656426922
VEL,1654573696
TIE,1642539281
ANI,1625600626
CUL,1623340608
HIL,1623042285
TEM,1622557132
RIA,1619408655
TRE,1616513740
IVI,1606414119
VES,1605862116
PEN,1603639140
CRE,1603148614
OLL,1597970087
ELE,1594486155
LON,1587180640
WAR,1583926445
EQU,1583257479
TRO,1582672298
EAL,1576388073
REP,1574573479
ELI,1573591451
IAN,1569158397
SID,1568981834
ISE,1568344516
ERV,1556518611
TRU,1549162360
ILE,1548861086
QUE,1540834455
HIM,1537248696
MED,1533532886
WOU,1530956183
FIN,1520863786
UCT,1516594336
OLD,1505803220
OOD,1500709917
COR,1495416668
NEW,1494928759
EAC,1481161790
ERM,1475075676
FAC,1472843774
BOU,1471128114
ACK,1464619127
SUC,1463698853
EDI,1451750421
NTO,1449629791
CAR,1448156884
OLI,1443365710
NLY,1440124041
MIL,1439084774
EED,1437607478
WAY,1431027289
ROP,1428409887
ITA,1427457862
ETH,1414693947
ECI,1414091861
UTI,1414080695
MAY,1412466904
ICI,1411469580
WHA,1407866798
RMA,1402784961
ARA,1392894978
QUI,1384393039
REM,1380269169
MBE,1376365247
FTE,1371492548
RST,1364987497
VED,1359443941
CTE,1357259543
NDS,1350307486
FIR,1350121749
LIE,1348622147
MET,1345596441
OOK,1340578410
MOS,1336327519
MES,1335784567
ACC,1335476272
VIN,1335241247
GIN,1329414655
ETE,1324106156
RGE,1318433016
OIN,1315707093
ARR,1315150675
HOL,1312505295
IGN,1312444251
SEC,1311031779
PON,1310917185
ESI,1310432300
TLY,1303246357
EMP,1301427587
SIS,1299963406
IED,1296080290
OTE,1295951836
RTH,1294805606
MAL,1292178604
COL,1288310679
DIT,1282288818
BLI,1279029992
RON,1278719824
GES,1276369776
SHI,1275044982
CIE,1273539579
ATU,1271862404
RET,1268237862
GER,1268117314
REF,1267265138
OLO,1265524937
AUS,1262012449
RCH,1261302449
LAC,1257561661
LLO,1256491417
TLE,1251635091
TIT,1246928327
IFI,1245924749
HOS,1244713023
BEC,1241611218
PEA,1240165018
ECE,1236102954
LLI,1236074227
ONC,1235335543
RCE,1234682633
FUL,1234540963
GRO,1230277639
ORS,1222304913
LAS,1220793842
RIO,1220235046
ARS,1217318786
CED,1216728247
WIN,1216304177
ONL,1214820120
VID,1212096337
NGS,1209854635
IOU,1207913620
ORY,1206606762
CLE,1202720861
LEC,1201130773
ITT,1197174866
URI,1196296508
OSS,1189532371
RTA,1187187660
CER,1185469813
POL,1183491197
NIS,1182596115
ARL,1178491856
EXT,1175724950
HED,1175539685
PPE,1171579952
ISI,1170738876
VAL,1167421106
ARG,1163598275
RIG,1158099454
NSE,1155938022
HOR,1153746894
ISS,1152026468
IAT,1151580638
CRI,1150300966
ELA,1149221682
ESP,1148639931
ITU,1144223267
TWO,1144145849
NOR,1141113001
RSE,1140048363
OFF,1138112310
IFF,1137844863
TEL,1137132381
ETI,1133782356
IRS,1132908546
CUR,1129852214
AID,1127820011
BET,1126658971
RAI,1122870370
CAS,1118830228
TIL,1115377334
LSO,1113441267
CHO,1111222473
EAN,1111113412
OCI,1107578343
TAB,1104333417
QUA,1103867434
FFI,1102521640
USI,1101229824
MPO,1098955147
DIA,1097668021
IKE,1097326708
PAT,1094793206
TON,1094573483
DIF,1094447781
UES,1093884478
MIT,1091175791
SOC,1090079564
SHA,1088317972
KNO,1087994813
ROV,1087399037
NCI,1087234797
MUS,1085334955
URA,1083612677
AFT,1081392153
LOG,1080913704
HRO,1080845222
INF,1078671633
CAU,1078089074
LET,1077677454
ALT,1077612543
RRE,1076901529
ANA,1076655840
ELF,1072288962
ENG,1072068149
ETT,1071390354
ORA,1068437016
MIS,1067766067
REG,1067531461
LIG,1066978562
EPT,1066672616
AIL,1066295388
URN,1065987062
UTE,1065304600
ROD,1065013738
IMA,1062594282
MEA,1061920786
TAR,1057905784
ALE,1055994193
OLE,1055326048
OSI,1053469905
EIN,1052378146
UTH,1044564536
WEL,1041901536
CLA,1041148273
WEE,1038999155
TIA,1034746450
EMB,1034111034
DAY,1030064586
ASI,1027882324
RDE,1027838103
STU,1027123631
URS,1027037553
FOU,1022261274
IZE,1022022237
OMI,1020006801
EFO,1016116936
LIK,1013577522
REV,1011248116
AYS,1005365430
ELO,1001816277
RAD,998833818
DEA,998176981
TAK,997809257
SUP,997681045
SUB,997657281
SOU,996701032
ECA,996015864
EMA,990902887
ODU,990596720
YEA,989592751
ILD,989324892
SPO,987586071
LEN,986126642
MPA,985870333
DIC,984016286
PLI,983904792
FEC,981757516
RRI,981231076
EVI,979630535
ICT,975024267
TUD,974798180
LOS,973051701
CTU,972918524
LEM,970055754
HAL,968450734
TWE,965876224
ISC,963324995
ROC,960910746
CTO,959250391
ARC,958282541
SIG,955015092
AMI,954200048
KED,947646862
JEC,947396391
HAP,945457718
PTI,944224042
BRI,943772016
UBL,943284050
SOL,942835095
RLY,941843958
CIT,940565695
ADI,939330729
FRE,938202358
CTS,937872402
AIR,936013199
ROW,935664882
NGL,934145713
UDE,933960576
STS,930697760
DRE,929834043
NIC,927766522
DEC,924397433
PAN,923295741
BIL,923236035
LIF,918198174
NNE,916381089
LOO,916213089
AMP,914332916
SAI,910906215
UNC,910147780
XPE,905786325
IMI,904297435
GAI,902646892
ARK,901575371
TIS,899894700
HEL,895622705
VIS,892994837
MAK,892108777
AGA,888873878
IBL,886743270
IFE,885964032
SEA,885690434
ROB,884324710
TOO,884272228
GET,877653491
EFF,877045505
RTE,876755827
PPO,875660099
DEP,873351630
AVI,873089933
RNE,872086009
RIB,871320598
VOL,867955750
MAD,867719645
GIV,866012422
DIE,864452826
RDS,863161947
SCH,862139668
ROL,861595115
OVI,860059985
RIV,859738982
DEV,859029789
TRY,853595303
ODE,849860660
GAN,846300024
BEL,844037777
NDA,843988417
LIA,842583607
RVE,842146751
MIC,839395147
ETW,837710782
TUA,834335454
ERC,832091674
DEL,830191335
CLU,828925492
UME,827410486
EGI,827295919
SAM,824905236
MAI,824223079
ANN,819945835
ICU,819285824
ROS,817839847
EMS,815228219
ARM,807538868
EMO,807304396
SIB,806000970
YST,804081058
EGA,801442700
SCR,800164023
OLU,797461296
RAM,793005418
UPP,789634711
LVE,788914661
BRO,788061140
UEN,785681398
CAM,784839780
RNA,784467338
URT,781997713
PIN,778611405
TTL,778068662
EXA,775248241
RUC,775159005
HIG,772126498
ETA,770934179
DID,769945900
FOL,766935020
VIC,766889920
MME,766703773
DAT,765559341
EDU,765302903
OCE,761797902
CEP,761228051
ROT,760744381
VIE,760388199
PAS,759949263
ORG,758376569
NTL,758192199
SET,756096508
OTI,755506245
SPI,755473878
RSO,751293539
ILY,747899561
DIV,747835577
ATO,746412486
INV,746392672
BAS,744905690
PUB,744800259
AUT,744436126
ONI,744269828
EXC,743862324
SSU,743466423
MOD,742956938
RMI,742075032
LUE,740431197
OPL,740318480
LOR,738743414
EIG,737456312
POI,737261233
JUS,732777049
EOP,732303726
DGE,730974664
EET,730407373
ERR,728862875
MOT,727423746
CCO,724991418
OMA,724716113
NVE,723429596
ONO,722854443
FIE,722377849
YIN,720955118
HIP,720468234
RAP,720148164
HOO,718978479
ISM,718830425
URC,717790756
DOW,714928592
ULL,713796916
BRA,712548578
LAY,711263905
UMB,710795416
NCL,710615019
ICK,710076724
NME,709157407
CAP,707793573
HOM,706992949
GED,706338332
LOP,705540816
IET,704821951
LER,704516213
OGR,701989031
EFE,701740204
DEF,700730657
SSA,699833907
VAR,699147321
NUM,699083645
CCE,697987963
NEE,697844819
HRE,697054423
TEA,696506548
LEG,695915444
PEO,693824015
LOC,692247660
BOT,691834172
PED,691518359
ENI,691434241
LAI,689237296
PUT,688971420
AMO,687459283
INK,687441468
RDI,686808187
ELD,685554767
SIC,683210209
RVI,681816885
REQ,681783375
BEI,680012701
BAC,679230118
LIV,678367898
RNI,677063946
MEM,673653028
MOU,670836063
EPA,670119745
RME,669902432
SUL,669899495
BOR,669471253
DUR,668020262
DON,667737972
OOL,667687021
SCO,667321779
SIM,666406638
PPL,665998796
CRO,663886756
RTS,663354083
ADD,662215010
EMI,661230058
MPE,660864046
FRA,660599583
FIG,659750979
RKE,658364464
ESC,652487526
ABI,651696717
ANO,651516330
UIT,651246069
TEC,650401196
RIM,649238552
APE,648908838
CUS,647914715
SUM,647139248
BAN,645057962
BJE,643845268
ANE,643621617
GOO,643615423
ESU,642724688
OCK,641629889
TEE,639946732
ERF,638460356
SAL,637224917
DEM,635605292
VAT,634893030
UDI,631757847
MUC,630921987
SYS,630540554
LLA,629848556
NOM,629162643
TCH,626978818
UCE,624817434
SOR,624654035
NDO,624543672
TIF,624529812
UAT,624513390
NCH,623673170
NDU,622888895
RSI,622584001
GAT,621554232
VAN,621167643
PPR,621085890
MOV,620328573
ECH,620210511
CIP,619853364
ROO,619057859
ELS,617606060
NEC,617226944
BEF,616963056
CLO,615967520
ORN,615521992
PTE,613211980
ALU,610483010
EEM,609798272
ONF,609631269
SCI,608066956
IGI,605989266
ROA,604424112
MAG,604139378
LAB,603964635
DET,603630199
KEN,603473338
ILA,603022094
ORR,602962720
RAG,602538039
RUS,602066850
OES,599265114
SAY,598649761
ACI,598554452
PUR,598430875
GAR,597550589
NAR,597245429
CIS,596977720
NAM,596545589
ANK,596166885
VIT,595890204
WAT,595790707
PRA,595023652
NCO,593764716
POW,591086279
FEE,588699118
FAI,588469472
ECU,588451528
ROG,587745058
FAR,586613347
TME,586275070
LUT,586025159
IER,585839697
ORL,584753943
RTY,584138340
OWI,583860434
DIR,583508348
NCT,582944044
LEV,582781272
PLO,581862296
PAI,581119919
MUN,580819907
GOV,580507025
ICS,580339768
NFO,580272256
SAN,580205872
SSO,579974921
OCA,579819067
EEP,577040502
TOM,575712925
LAW,575326744
URR,574723133
LTH,574593264
NTH,573541626
OUP,573093303
IBE,572896069
PIT,570651202
EPE,569820096
MAS,569759866
INU,569208816
VIO,568482139
NAN,567578107
LLS,566723763
NET,566679328
OBL,565918607
WRI,565540726
LUD,565178114
AFF,564298855
APT,563987194
PHI,563709005
CCU,563582357
FRI,561429883
EPR,561040509
RMS,560553082
IEW,560419110
IVA,557471687
SMA,557244946
DAR,556601945
ALO,555327758
OCC,555149612
XAM,554911076
LIM,553827334
UPO,552304038
EDE,551766457
SPA,550950969
DOM,548383587
EFI,547869163
RGA,547729328
CEL,547638409
GNI,547389754
TUT,545107488
IZA,545006745
SLA,543758567
DRA,543168190
UIR,543000381
HUS,542710252
SAT,542405401
OKE,542317490
ENA,541348028
MIG,541211462
FUN,541045710
RLD,540850186
ORC,540145077
SEV,538552249
NEV,537835914
LUS,537752963
ARN,537524042
MSE,537125265
UAR,536972943
ERO,536631879
DAN,535210110
PUL,534138884
EAK,533819143
TTI,532569021
ZED,530706145
ADV,529078659
OPP,526407315
OWS,525286869
PAC,524393599
ENO,524117321
ERG,522437376
TOW,521953113
UNG,520813279
MPT,520443899
PHY,520051077
WEV,519328079
BIT,517175588
EXI,517094815
PIC,516508524
SIV,516160771
MMU,514873401
NCR,514400761
YSI,514268650
LIZ,514080290
BOO,513934276
AKI,513305537
NEA,511457158
KER,511161815
OGI,510956915
CIN,509740177
IOR,509362468
RAB,508075152
VIL,506929428
RRO,506856356
WED,504699195
TAG,503861127
FIL,503528116
ASK,502693225
FAM,501543055
BEA,500493043
BAR,499111508
BLY,498449066
CKE,498365777
SCA,497477760
USS,497268840
HUM,496658944
ISO,495128118
GIC,492944870
WOM,492837641
BRE,490909165
ASO,489645834
EAV,488907405
NSU,488861098
THU,487092722
MMI,484589753
IEV,484105010
IBI,483600637
PIR,482853640
ONV,480585073
ATA,478629045
NIZ,478334833
MMO,476104007
EEL,476027430
ZAT,475267359
EPO,475136635
BES,475045947
AWA,474757459
GLE,473925675
GIO,473864322
BUR,473830694
WAN,473477954
CLI,473432350
MUL,473243044
WIS,472182912
NCY,471086019
OFT,470251665
BEG,468216030
NOU,468011375
CHR,467705604
NGU,467187939
RAR,465955437
OOR,464661153
